kb_id,source_id,domain,topic,title,intended_use,medical_scope,char_count,warning_flags,error_flags,suspected_noise_markers,duplicate_like_kb_ids,content_preview_500,reviewer_notes
"kb_v1_4_4a_001","nhs_blood_tests_overview_v1_4","nhs.uk","general_lab_tests_blood_tests","Blood tests","screening_context","general blood tests","876","","","","","Blood tests A blood test is often done to check your health, or to find out why you're having certain symptoms. It involves having a small amount of your blood taken for testing. Why a blood test is done There are lots of reasons why you may need a blood test. A blood test may be done to: check your general health find out if symptoms you're having are caused by certain conditions find out if you're more likely to get a condition find out how well a condition is being treated or managed How to b",""
"kb_v1_4_4a_002","nhs_blood_tests_overview_v1_4","nhs.uk","general_lab_tests_blood_tests","Common types of blood test","screening_context","general blood tests","861","","","","","Common types of blood test Test Why it's done Full blood count (FBC) Measures the number of blood cells in your blood to check for blood conditions such as iron deficiency anaemia Blood glucose Measures your blood sugar levels to check for or manage diabetes Urea and electrolytes, or renal panel Checks if the amount of certain substances in your blood may be causing your symptoms Lipid profile Measures your cholesterol levels to check your risk of getting conditions like cardiovascular disease a",""
"kb_v1_4_4a_003","nhs_blood_tests_overview_v1_4","nhs.uk","general_lab_tests_blood_tests","If you're worried about needles","result_boundary","general blood tests","1159","","","","","If you're worried about needles Tell the healthcare professional doing your blood test if you're worried about needles. They can help you feel more comfortable during the test. You can also bring someone with you to the blood test to support you. Getting your blood test results You may get your blood test results after a few days, and usually within a few weeks. If you do not hear anything after a few weeks, contact the GP surgery or specialist. The GP, nurse, or specialist should talk to you ab",""
"kb_v1_4_4a_004","medlineplus_blood_testing_overview_v1_4","medlineplus.gov","general_lab_tests_routine_blood_testing","What happens during a blood test?","result_boundary","general blood tests","1573","","","","","What happens during a blood test? A health care provider will need to take a sample of your blood. This is also called a blood draw. When a blood draw is taken from a vein, it's known as venipuncture. During venipuncture , a lab professional, known as a phlebotomist, will take a blood sample from a vein in your arm, using a small needle. After the needle is inserted, a small amount of blood will be collected into a test tube or vial. You may feel a little sting when the needle goes in or out. Th",""
"kb_v1_4_4a_005","medlineplus_blood_testing_overview_v1_4","medlineplus.gov","general_lab_tests_routine_blood_testing","Will I need to do anything to prepare for the test?","preparation_guidance","general blood tests","1150","","","","","Will I need to do anything to prepare for the test? You don't need any special preparations for most blood tests. For some tests, you may need to fast (not eat or drink) for several hours before your test. You may need to stop taking certain medicines before your test, so tell your provider about everything you take. But don't stop taking any medicines unless your provider tells you to. Your provider will let you know if there are any special instructions to follow. Are there any risks to the te",""
"kb_v1_4_4a_006","medlineplus_blood_testing_overview_v1_4","medlineplus.gov","general_lab_tests_routine_blood_testing","Is there anything else I should know about blood testing?","result_boundary","general blood tests","521","","","","","Is there anything else I should know about blood testing? Blood testing can provide important information about your health. But it doesn't always give enough information about your condition. If you've had blood work, you may also need other types of tests before your provider can make a diagnosis. To understand the results of your blood test, your provider may consider your symptoms, medical history, and the results of other tests. Learn more about laboratory tests, reference ranges, and under",""
"kb_v1_4_4a_007","medlineplus_prepare_lab_test_v1_4","medlineplus.gov","lab_preparation_fasting","Will I need to take other steps to prepare for my lab test?","result_boundary","liver function","1554","","","","","Will I need to take other steps to prepare for my lab test? For many lab tests, you don't need to do anything other than answer questions from your provider and/or lab professional. But for others, you may need to do some specific preparations before the test. One of the most common lab test preparations is fasting . Fasting means you should not eat or drink anything except water for up to several hours or overnight before your test. This is done because nutrients and ingredients in food are abs",""
"kb_v1_4_4a_008","medlineplus_prepare_lab_test_v1_4","medlineplus.gov","lab_preparation_fasting","What types of lab tests require special preparation?","preparation_guidance","liver function","912","","","","","What types of lab tests require special preparation? Some of the most common lab tests that require fasting include: Blood Glucose Test Cholesterol Levels Test Triglycerides Test Calcitonin Test Some of the most common lab tests that require other special preparations include: Creatinine Test , which may require fasting or avoiding cooked meats. Cortisol Test . For this test, you may need to rest for a bit before your sample is taken. You may also have to avoid eating, drinking, or brushing your",""
"kb_v1_4_4a_009","medlineplus_prepare_lab_test_v1_4","medlineplus.gov","lab_preparation_fasting","Is there anything else I should know about preparing for a lab test?","result_boundary","liver function","305","","","","","Is there anything else I should know about preparing for a lab test? Talk to your provider if you have questions or concerns about test preparations. They will let you know if there are any special instructions to follow. Be sure you understand your preparation instructions before the day of your test.",""
"kb_v1_4_4a_010","medlineplus_understand_lab_results_v1_4","medlineplus.gov","medical_result_explanation_boundary","How to Understand Your Lab Results","result_boundary","medical result interpretation boundary","1490","","","","","How to Understand Your Lab Results What is a laboratory test? A laboratory (lab) test checks a sample of your blood , urine (pee), or other body fluid or tissue to learn about your health. The sample is sent to a lab where health care professionals test it to see if it contains certain substances and, if so, how much. Some lab tests can clearly show whether you do or don't have a specific health condition. For example, a pregnancy test can show whether or not you are pregnant. Other lab tests pr",""
"kb_v1_4_4a_011","medlineplus_understand_lab_results_v1_4","medlineplus.gov","medical_result_explanation_boundary","What is a reference range?","result_boundary","medical result interpretation boundary","2258","","","","","What is a reference range? Lab test results are reported in different ways. Some results are a number. For example, your low-density lipoprotein (LDL) result for a cholesterol test may be 125 or 80. But how do you know what that number means? To answer that question, your lab report tells you whether your test result is in a normal range called a reference range or ""normal values."" A reference range is a set of numbers that form the high and low ends of the range of results that's considered to ",""
"kb_v1_4_4a_012","medlineplus_understand_lab_results_v1_4","medlineplus.gov","medical_result_explanation_boundary","What are false positive and false negative results?","result_boundary","medical result interpretation boundary","1277","","","","","What are false positive and false negative results? Tests results are usually accurate, but no test is perfect. A false positive result means your test shows you have a disease or condition, but you don't really have it. A false negative result means your test shows you don't have a disease or condition, but you really do. These incorrect results don't happen often, but they are more likely with certain types of tests, or if testing wasn't done right. If your provider thinks your test result may",""
"kb_v1_4_4a_013","medlineplus_understand_lab_results_v1_4","medlineplus.gov","medical_result_explanation_boundary","What if I do a home test?","result_boundary","medical result interpretation boundary","394","","","","","What if I do a home test? At-home test kits are available for many types of lab tests. The kits provide everything you need to collect a sample of body fluid or cells to send to a lab. At-home tests should never replace testing that your provider orders. Ask your provider or pharmacist to recommend a test you can trust. And talk with your provider about your results, even if they're normal.",""
"kb_v1_4_4a_014","medlineplus_cbc_test_v1_4","medlineplus.gov","cbc_anemia_infection_basics","Complete Blood Count (CBC)","general_lab_education","CBC / anemia / infection","986","","","","","Complete Blood Count (CBC) What is a Complete Blood Count? A complete blood count, or CBC, is a group of blood tests that measure the number and size of the different cells in your blood. A CBC measures: Red blood cells , which carry oxygen from your lungs to the rest of your body. White blood cells , which fight infections and other diseases. There are five major types of white blood cells. A CBC test measures the total number of white cells in your blood. A different test called a CBC with dif",""
"kb_v1_4_4a_015","medlineplus_cbc_test_v1_4","medlineplus.gov","cbc_anemia_infection_basics","What is it used for?","result_boundary","CBC / anemia / infection","933","","","","","What is it used for? A complete blood count is often part of a routine checkup . It is also used to monitor a condition or treatment that may affect your blood cell counts such as infections, anemia , immune system disorders , and blood cancers. Why do I need a complete blood count? Your health care provider may have ordered a complete blood count as part of your checkup or to monitor your overall health. The test may also be used to: Help diagnose blood diseases , infections, immune system diso",""
"kb_v1_4_4a_016","medlineplus_cbc_test_v1_4","medlineplus.gov","cbc_anemia_infection_basics","Will I need to do anything to prepare for the test?","result_boundary","CBC / anemia / infection","1693","","","","","Will I need to do anything to prepare for the test? Usually, no special preparation is necessary for a complete blood count. But if your provider ordered other tests on your blood sample, you may need to fast (not eat or drink) for several hours before the test. Your provider will let you know if there are any special instructions. Are there any risks to the test? There is very little risk to having a blood test. You may experience slight pain or bruising at the spot where the needle went in, bu",""
"kb_v1_4_4a_017","medlineplus_crp_test_v1_4","medlineplus.gov","inflammation_infection_context","C-Reactive Protein (CRP) Test","test_explanation","CBC / anemia / infection","1024","","","","","C-Reactive Protein (CRP) Test What is a c-reactive (CRP) protein test? A c-reactive protein test measures the level of c-reactive protein (CRP) in a sample of your blood. Your liver makes CRP in response to inflammation. Inflammation is your body's way of protecting your tissues and helping them heal from an injury , infection , or other disease. When it's acute (sudden) and for a short time, inflammation is helpful. For example, when you get a cut on your skin, the area around the cut may turn ",""
"kb_v1_4_4a_018","medlineplus_crp_test_v1_4","medlineplus.gov","inflammation_infection_context","Other names: c-reactive protein, serum","symptom_to_test_context","CBC / anemia / infection","800","","","","","Other names: c-reactive protein, serum What is it used for? By measuring the levels of c-reactive protein in your blood, a CRP test can tell your health care provider how much inflammation you have in your body. High CRP levels may mean you have an acute or chronic health condition, such as: Infections from bacteria or viruses . Inflammatory bowel disease, disorders of the intestines that include Crohn's disease and ulcerative colitis . Autoimmune disorders, such as lupus , rheumatoid arthritis ",""
"kb_v1_4_4a_019","medlineplus_crp_test_v1_4","medlineplus.gov","inflammation_infection_context","Will I need to do anything to prepare for the test?","result_boundary","CBC / anemia / infection","1335","","","","","Will I need to do anything to prepare for the test? Some medicines may affect your results. So, tell your provider about any supplements or medicines that you take, including magnesium and non-steroidal anti-inflammatory drugs (NSAIDS) such as ibuprofen and aspirin. Don't stop taking any prescription medicines without talking with your provider first. Are there any risks to the test? There is very little risk to having a blood test. You may have slight pain or bruising at the spot where the need",""
"kb_v1_4_4a_020","medlineplus_crp_test_v1_4","medlineplus.gov","inflammation_infection_context","Is there anything else I need to know about a CRP test?","screening_context","CBC / anemia / infection","311","","","","","Is there anything else I need to know about a CRP test? A CRP test is sometimes confused with a high-sensitivity-(hs) CRP test. They both measure CRP, but they are used for different conditions. An hs-CRP test measures very tiny increases in your CRP levels. It is used to estimate your risk of heart disease .",""
"kb_v1_4_4a_021","medlineplus_blood_culture_v1_4","medlineplus.gov","infection_testing_blood_culture","Blood culture","result_boundary","CBC / anemia / infection","868","","","","","Blood culture A blood culture is a lab test to check for bacteria or other germs in a blood sample. How the Test is Performed A blood sample is needed . The site where blood will be drawn is first cleaned with an antiseptic such as chlorhexidine. This reduces the chance of an organism from the skin getting into (contaminating) the blood sample and causing a false-positive result (see below). The sample is sent to a lab. There, it is placed in a special dish (culture). It is then watched to see i",""
"kb_v1_4_4a_022","medlineplus_blood_culture_v1_4","medlineplus.gov","infection_testing_blood_culture","How to Prepare for the Test","result_boundary","CBC / anemia / infection","1413","","","","","How to Prepare for the Test There is no special preparation. How the Test will Feel When the needle is inserted to draw blood, some people feel moderate pain. Others feel only a prick or stinging. Afterward, there may be some throbbing or a slight bruise. This soon goes away. Why the Test is Performed Your health care provider may order this test if you have symptoms of a serious infection, also known as sepsis . Symptoms of sepsis can include high fever, chills, rapid breathing and heart rate, ",""
"kb_v1_4_4a_023","medlineplus_blood_culture_v1_4","medlineplus.gov","infection_testing_blood_culture","Risks","screening_context","CBC / anemia / infection","562","","","","","Risks There is little risk involved with having your blood taken. Veins and arteries vary in size from one person to another and from one side of the body to the other. Taking blood from some people may be more difficult than from others. Other risks associated with having blood drawn are slight, but may include: Excessive bleeding Fainting or feeling lightheaded Multiple punctures to locate veins Hematoma (blood accumulating under the skin) Infection (a slight risk any time the skin is broken) ",""
"kb_v1_4_4a_024","medlineplus_blood_glucose_test_v1_4","medlineplus.gov","glucose_fasting_blood_glucose_diabetes_screening","What is it used for?","result_boundary","glucose / HbA1c / diabetes screening","1691","","","","","What is it used for? A blood glucose test may be used: As part of a routine checkup to screen for prediabetes and diabetes To help diagnose the cause of symptoms that may mean your blood glucose is too high or too low To monitor the side effects of certain long-term medicines that may affect blood glucose Why do I need a blood glucose test? Your provider may order a blood glucose test as part of your routine checkup. Routine blood tests that include a glucose test include a basic metabolic panel",""
"kb_v1_4_4a_025","medlineplus_blood_glucose_test_v1_4","medlineplus.gov","glucose_fasting_blood_glucose_diabetes_screening","Will I need to do anything to prepare for the test?","result_boundary","glucose / HbA1c / diabetes screening","1201","","","","","Will I need to do anything to prepare for the test? If your provider orders a fasting blood glucose test or an oral glucose tolerance test, you will need to fast for at least eight hours before the test. If your glucose test is part of a BMP or CMP test, you may need to fast. Other blood glucose tests don't require any special preparations. Ask your provider whether you need to fast before your glucose test. Are there any risks to the test? There is very little risk to having a blood test. You m",""
"kb_v1_4_4a_026","medlineplus_hba1c_test_v1_4","medlineplus.gov","hba1c_diabetes_monitoring_screening","Hemoglobin A1C (HbA1c) Test","result_boundary","glucose / HbA1c / diabetes screening","1304","","","","","Hemoglobin A1C (HbA1c) Test What is a hemoglobin A1C (HbA1C) test? A hemoglobin A1C (HbA1C) test is a blood test that shows your average level of blood glucose , also called blood sugar, over the past two to three months. Glucose is a type of sugar in your blood that comes from the foods you eat. Your cells use glucose for energy. A hormone called insulin helps glucose get into your cells. If you have diabetes your body doesn't make enough insulin, or your cells don't use it well. As a result, g",""
"kb_v1_4_4a_027","medlineplus_hba1c_test_v1_4","medlineplus.gov","hba1c_diabetes_monitoring_screening","Other names: HbA1C, A1C, glycohemoglobin, glycated hemoglobin, glycosylated hemoglobin","result_boundary","glucose / HbA1c / diabetes screening","1160","","","","","Other names: HbA1C, A1C, glycohemoglobin, glycated hemoglobin, glycosylated hemoglobin What is it used for? Your blood glucose level changes all the time. If you're checking it at home, you are measuring what your blood glucose level is at that time. An A1C test gives you an average level of your blood glucose level over the past two to three months. An A1C test may be used to screen for or diagnose: Type 2 diabetes . With type 2 diabetes your blood glucose gets too high because your body doesn'",""
"kb_v1_4_4a_028","medlineplus_hba1c_test_v1_4","medlineplus.gov","hba1c_diabetes_monitoring_screening","Why do I need an A1C test?","result_boundary","glucose / HbA1c / diabetes screening","1324","","","","","Why do I need an A1C test? The Centers for Disease Control (CDC) recommends A1C testing for diabetes and prediabetes if: You are over age 45. If your results are normal, your provider will tell you how often you should be tested based on your age and risk factors. If your results show you have prediabetes, you will usually need to be tested every 1 to 2 years. Ask your provider how often to get tested and what you can do to reduce your risk of developing diabetes. If your results show you have d",""
"kb_v1_4_4a_029","medlineplus_hba1c_test_v1_4","medlineplus.gov","hba1c_diabetes_monitoring_screening","Is there anything else I need to know about an A1C test?","result_boundary","glucose / HbA1c / diabetes screening","449","","","","","Is there anything else I need to know about an A1C test? The A1C test is not used to diagnose gestational diabetes. Also, if you have a condition that affects your red blood cells, such as anemia or another type of blood disorder, an A1C test may not be accurate for diagnosing diabetes. Kidney failure and liver disease can also affect A1C results. In these cases, your provider may recommend different tests to diagnose diabetes and prediabetes.",""
"kb_v1_4_4a_030","niddk_diabetes_tests_diagnosis_v1_4","niddk.nih.gov","glucose_hba1c_diabetes_screening","Fasting plasma glucose test","result_boundary","glucose / HbA1c / diabetes screening","1370","","","","","Fasting plasma glucose test The fasting plasma glucose (FPG) test measures your blood glucose level at a single point in time. For the most reliable results, your doctor will give you the test in the morning after you have fasted for at least 8 hours. Fasting means having nothing to eat or drink except sips of water. A1C test The A1C test is a blood test that provides your average levels of blood glucose over the last 3 months. Other names for the A1C test are hemoglobin A1C, HbA1C, glycated hem",""
