query_id,query,expected_topic,acceptable_topics,top_1_topics,top_3_topics,top_5_topics,top_10_topics,top_20_topics,oracle_hit_1,oracle_hit_3,oracle_hit_5,oracle_hit_10,oracle_hit_20,failure_bucket,notes
b4a_vi_001,mình muốn kiểm tra sức khỏe tổng quát thì nên xét nghiệm những gì,general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,test_meaning,test_meaning;test_result_explainer;result_interpretation,test_meaning;test_result_explainer;result_interpretation;test_use,test_meaning;test_result_explainer;result_interpretation;test_use;general_info;preparation,test_meaning;test_result_explainer;result_interpretation;test_use;general_info;preparation;results;red_flag_general;urgent_advice,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck."
b4a_vi_002,"dạo này em hay mệt, muốn làm vài xét nghiệm cơ bản xem có vấn đề gì không",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing;cbc_anemia_infection_basics;glucose_hba1c_diabetes_screening;tsh_thyroid_screening,result_interpretation,result_interpretation;red_flag_general;test_result_explainer,result_interpretation;red_flag_general;test_result_explainer;test_meaning,result_interpretation;red_flag_general;test_result_explainer;test_meaning;urgent_advice;results;general_info;emergency_warning,result_interpretation;red_flag_general;test_result_explainer;test_meaning;urgent_advice;results;general_info;emergency_warning;red_flag_signs;test_use;preparation,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck."
b4a_vi_003,"nam 35 tuổi, làm văn phòng, muốn kiểm tra tổng quát tại nhà thì nên bắt đầu từ đâu",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,red_flag_general,red_flag_general;test_result_explainer;result_interpretation,red_flag_general;test_result_explainer;result_interpretation;preparation,red_flag_general;test_result_explainer;result_interpretation;preparation;urgent_advice;test_meaning;test_use;general_info,red_flag_general;test_result_explainer;result_interpretation;preparation;urgent_advice;test_meaning;test_use;general_info;results,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck."
b4a_vi_004,"công ty bắt khám sức khỏe, mình nên chọn mấy xét nghiệm máu cơ bản nào cho đỡ thiếu",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,test_result_explainer,test_result_explainer;test_meaning;result_interpretation,test_result_explainer;test_meaning;result_interpretation;preparation;general_info,test_result_explainer;test_meaning;result_interpretation;preparation;general_info;test_use;urgent_advice;results,test_result_explainer;test_meaning;result_interpretation;preparation;general_info;test_use;urgent_advice;results;red_flag_general;red_flag_signs,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
b4a_vi_005,"mình không có triệu chứng gì rõ, chỉ muốn kiểm tra định kỳ mỗi năm thì nên xem những chỉ số nào",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,result_interpretation,result_interpretation;test_meaning,result_interpretation;test_meaning;urgent_advice;test_result_explainer,result_interpretation;test_meaning;urgent_advice;test_result_explainer;red_flag_general;test_use,result_interpretation;test_meaning;urgent_advice;test_result_explainer;red_flag_general;test_use;general_info;safety_boundary;results;red_flag_signs,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck."
b4a_vi_006,"tôi muốn xét nghiệm tổng quát nhưng hơi sợ kim, có cách nào chuẩn bị trước không",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing;lab_preparation_fasting,preparation,preparation;test_use;result_interpretation,preparation;test_use;result_interpretation;urgent_advice;results,preparation;test_use;result_interpretation;urgent_advice;results;general_info;test_result_explainer;test_meaning;red_flag_general,preparation;test_use;result_interpretation;urgent_advice;results;general_info;test_result_explainer;test_meaning;red_flag_general;red_flag_signs;emergency_warning;kidney_function_creatinine_egfr,True,True,True,True,True,candidate_present_top3,Expected topic already appears in semantic top3.
b4a_vi_007,"em hay chóng mặt với mệt, có nên kiểm tra thiếu máu không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,red_flag_general,red_flag_general;result_interpretation;urgent_advice,red_flag_general;result_interpretation;urgent_advice;emergency_warning,red_flag_general;result_interpretation;urgent_advice;emergency_warning;test_result_explainer,red_flag_general;result_interpretation;urgent_advice;emergency_warning;test_result_explainer;test_meaning;red_flag_signs;results,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
b4a_vi_008,"CBC là xét nghiệm gì, có biết được thiếu máu không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,result_interpretation,result_interpretation;test_meaning;test_result_explainer,result_interpretation;test_meaning;test_result_explainer;general_info,result_interpretation;test_meaning;test_result_explainer;general_info;test_use;results,result_interpretation;test_meaning;test_result_explainer;general_info;test_use;results;cbc_anemia_infection_basics;preparation;red_flag_general,False,False,False,False,True,candidate_present_but_rerank_failed,Expected topic appears in semantic top20 but not top3; reranking/candidate ordering is the likely bottleneck.
b4a_vi_009,"người nhà tôi sốt mấy hôm, muốn xem có nhiễm trùng không thì công thức máu có giúp gì không",cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture,test_result_explainer,test_result_explainer;test_meaning;red_flag_general,test_result_explainer;test_meaning;red_flag_general;results,test_result_explainer;test_meaning;red_flag_general;results;result_interpretation,test_result_explainer;test_meaning;red_flag_general;results;result_interpretation;urgent_advice;red_flag_signs;general_info;emergency_warning;preparation,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
b4a_vi_010,"em bị mệt lâu ngày, da hơi xanh, muốn kiểm tra máu thì nên bắt đầu bằng CBC không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,result_interpretation,result_interpretation;test_meaning;red_flag_general,result_interpretation;test_meaning;red_flag_general;urgent_advice,result_interpretation;test_meaning;red_flag_general;urgent_advice;test_use;test_result_explainer;preparation;cbc_anemia_infection_basics,result_interpretation;test_meaning;red_flag_general;urgent_advice;test_use;test_result_explainer;preparation;cbc_anemia_infection_basics;results;emergency_warning;general_info;red_flag_signs,False,False,False,True,True,candidate_present_but_rerank_failed,Expected topic appears in semantic top20 but not top3; reranking/candidate ordering is the likely bottleneck.
b4a_vi_011,bạch cầu cao trong công thức máu có phải chắc chắn là nhiễm trùng không,cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture;medical_result_explanation_boundary,test_meaning,test_meaning;emergency_warning,test_meaning;emergency_warning;red_flag_general;result_interpretation,test_meaning;emergency_warning;red_flag_general;result_interpretation;test_result_explainer;results;red_flag_signs,test_meaning;emergency_warning;red_flag_general;result_interpretation;test_result_explainer;results;red_flag_signs;test_use;general_info,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
b4a_vi_012,"mẹ tôi hay mệt và ăn kém, tôi muốn hỏi xét nghiệm máu nào xem thiếu máu hay viêm",cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture,test_result_explainer,test_result_explainer;result_interpretation;test_meaning,test_result_explainer;result_interpretation;test_meaning,test_result_explainer;result_interpretation;test_meaning;results;test_use;general_info;red_flag_general;preparation,test_result_explainer;result_interpretation;test_meaning;results;test_use;general_info;red_flag_general;preparation;urgent_advice,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
b4a_vi_013,"bố tôi hay khát nước với mệt, muốn kiểm tra tiểu đường thì xét nghiệm gì",glucose_fasting_blood_glucose_diabetes_screening,glucose_fasting_blood_glucose_diabetes_screening;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening,test_result_explainer,test_result_explainer;result_interpretation;test_use,test_result_explainer;result_interpretation;test_use;test_meaning,test_result_explainer;result_interpretation;test_use;test_meaning;general_info;results;preparation;red_flag_general;urgent_advice,test_result_explainer;result_interpretation;test_use;test_meaning;general_info;results;preparation;red_flag_general;urgent_advice;glucose_fasting_blood_glucose_diabetes_screening,False,False,False,False,True,candidate_present_but_rerank_failed,Expected topic appears in semantic top20 but not top3; reranking/candidate ordering is the likely bottleneck.
b4a_vi_014,"HbA1c khác gì đường huyết lúc đói vậy, tôi đọc kết quả hơi rối",glucose_fasting_blood_glucose_diabetes_screening,glucose_fasting_blood_glucose_diabetes_screening;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening;lab_preparation_fasting,results,results;test_meaning;test_result_explainer,results;test_meaning;test_result_explainer;result_interpretation;hba1c_diabetes_monitoring_screening,results;test_meaning;test_result_explainer;result_interpretation;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening;test_use,results;test_meaning;test_result_explainer;result_interpretation;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening;test_use;urgent_advice;preparation;general_info;red_flag_signs;emergency_warning,False,False,True,True,True,candidate_present_but_rerank_failed,Expected topic appears in semantic top20 but not top3; reranking/candidate ordering is the likely bottleneck.
b4a_vi_015,"tôi muốn kiểm tra đường máu định kỳ, có cần nhịn ăn không",glucose_fasting_blood_glucose_diabetes_screening,glucose_fasting_blood_glucose_diabetes_screening;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening;lab_preparation_fasting,preparation,preparation;test_use;test_result_explainer,preparation;test_use;test_result_explainer;general_info;result_interpretation,preparation;test_use;test_result_explainer;general_info;result_interpretation;test_meaning;results;red_flag_general,preparation;test_use;test_result_explainer;general_info;result_interpretation;test_meaning;results;red_flag_general;urgent_advice;lab_preparation_fasting;cbc_anemia_infection_basics,True,True,True,True,True,candidate_present_top3,Expected topic already appears in semantic top3.
b4a_vi_016,"em ăn ngọt nhiều nên hơi lo, muốn xét nghiệm tiểu đường thì làm đường huyết hay HbA1c",glucose_fasting_blood_glucose_diabetes_screening,glucose_fasting_blood_glucose_diabetes_screening;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening,test_meaning,test_meaning;test_result_explainer;preparation,test_meaning;test_result_explainer;preparation;hba1c_diabetes_monitoring_screening;results,test_meaning;test_result_explainer;preparation;hba1c_diabetes_monitoring_screening;results;general_info;result_interpretation;glucose_hba1c_diabetes_screening,test_meaning;test_result_explainer;preparation;hba1c_diabetes_monitoring_screening;results;general_info;result_interpretation;glucose_hba1c_diabetes_screening;urgent_advice;test_use;glucose_fasting_blood_glucose_diabetes_screening;red_flag_general,False,False,True,True,True,candidate_present_but_rerank_failed,Expected topic appears in semantic top20 but not top3; reranking/candidate ordering is the likely bottleneck.
b4a_vi_017,"ba tôi tiểu nhiều ban đêm, khát nước, có cần kiểm tra đường máu không",glucose_fasting_blood_glucose_diabetes_screening,glucose_fasting_blood_glucose_diabetes_screening;hba1c_diabetes_monitoring_screening;glucose_hba1c_diabetes_screening,result_interpretation,result_interpretation;test_result_explainer;test_use,result_interpretation;test_result_explainer;test_use;test_meaning;results,result_interpretation;test_result_explainer;test_use;test_meaning;results;preparation;general_info,result_interpretation;test_result_explainer;test_use;test_meaning;results;preparation;general_info;red_flag_general;urgent_advice;red_flag_signs;emergency_warning,False,False,False,False,False,candidate_missing_top20,"Expected topic is absent from semantic top20; candidate generation, query embedding, or alias coverage is the likely bottleneck. Query contains Vietnamese alias tied to expected topic."
