source_id,topic,domain,title,url,final_url,char_count,word_count,heading_count,extraction_status,review_status,runtime_promoted,used_body_fallback,main_content_candidate_count,text_preview_start,text_preview_mid,text_preview_end,suspected_noise_markers,suspected_navigation_or_footer_noise,suspected_too_short,suspected_too_broad,suspected_duplicate_like_title,qa_status,reviewer_note
"nhs_blood_tests_overview_v1_4","general_lab_tests_blood_tests","nhs.uk","Blood tests","https://www.nhs.uk/tests-and-treatments/blood-tests/","https://www.nhs.uk/tests-and-treatments/blood-tests/","4168","733","10","ok","needs_human_review","false","false","2","Blood tests A blood test is often done to check your health, or to find out why you're having certain symptoms. It involves having a small amount of your blood taken for testing. Why a blood test is done There are lots of reasons why you may need a blood test. A blood test may be done to: check your general health find out if symptoms you're having are cause","some tests, you may need to: not eat or drink anything other than water (fast) stop taking certain medicines, such as medicines to help prevent blood clots (anticoagulant medicines) What happens at a blood test A blood test is usually done at a GP surgery or hospital. The test usually takes about 10 minutes. A healthcare professional will take a small amount"," a healthcare professional if you have questions about your results or do not understand them. Information: View your results online You may be able to see your test results using the NHS App or by logging into your account on the NHS website. Find out how to view your test results online Page last reviewed: 02 November 2023 Next review due: 02 November 2026","page last reviewed; next review due","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_blood_testing_overview_v1_4","general_lab_tests_routine_blood_testing","medlineplus.gov","What You Need to Know About Blood Testing","https://medlineplus.gov/lab-tests/what-you-need-to-know-about-blood-testing/","https://medlineplus.gov/lab-tests/what-you-need-to-know-about-blood-testing/","8337","1331","8","ok","needs_human_review","false","false","7","What You Need to Know About Blood Testing What are blood tests? Blood tests are used to measure or look at cells, chemicals, proteins, or other substances in your blood . Blood testing, also known as blood work, is one of the most common types of lab tests. Blood work is often included as part of a regular checkup . Blood tests are also used to: Help diagnos"," or bruising at the spot where the needle was put in, but most symptoms go away quickly. There is very little risk to your baby with a heel stick test. Your baby may feel a little pinch when the heel is poked, and a small bruise may form at the site. Collecting blood from an artery is more painful than collecting from a vein, but complications are rare. You ","): World Health Organization; c2020. Simple/Rapid Tests; 2014 Jun 27 [cited 2024 Apr 09]; [about 1 screen]. Available from: https://www.who.int/news-room/q-a-detail/simple-rapid-tests The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_prepare_lab_test_v1_4","lab_preparation_fasting","medlineplus.gov","How to Prepare for a Lab Test","https://medlineplus.gov/lab-tests/how-to-prepare-for-a-lab-test/","https://medlineplus.gov/lab-tests/how-to-prepare-for-a-lab-test/","6790","1065","6","ok","needs_human_review","false","false","5","How to Prepare for a Lab Test How do I prepare for a lab test? A laboratory (lab) test is a procedure in which a health care provider takes a sample of your blood , urine , other body fluid, or body tissue to get information about your health. Lab tests may be used to: Help diagnose or screen for a specific disease or condition. Screening helps diagnose dise","st for a bit before your sample is taken. You may also have to avoid eating, drinking, or brushing your teeth for a certain period of time before your test. Fecal Occult Blood Test . For this test, you may need to avoid certain foods or medicines. 5-HIAA Test. For this test, you may be asked to avoid various foods. These may include avocados, bananas, pineap","ab, LLC; c2017. How To Prepare For Your Lab Tests; 2017 Sep 12 [cited 2024 Apr 09]; [about 2 screens]. Available from: https://www.walkinlab.com/blog/how-to-prepare-for-your-lab-tests The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_understand_lab_results_v1_4","medical_result_explanation_boundary","medlineplus.gov","How to Understand Your Lab Results","https://medlineplus.gov/lab-tests/how-to-understand-your-lab-results/","https://medlineplus.gov/lab-tests/how-to-understand-your-lab-results/","11581","1894","9","ok","needs_human_review","false","false","8","How to Understand Your Lab Results What is a laboratory test? A laboratory (lab) test checks a sample of your blood , urine (pee), or other body fluid or tissue to learn about your health. The sample is sent to a lab where health care professionals test it to see if it contains certain substances and, if so, how much. Some lab tests can clearly show whether ","oking for trends in your test results over time, it's important to try to use the same lab for testing. Second, test results are measured with different units of measurement. Just as you might measure ingredients for a recipe in teaspoons, cups, or ounces, different tests use different units of measurement. Examples of measurement you may see include: Mcg/dL",". Reference Ranges and What They Mean; [modified 2021 Jul 9; cited 2025 Aug 17]; [about 23 screens]. Available from: https://www.testing.com/articles/laboratory-test-reference-ranges/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_laboratory_tests_topic_v1_4","medical_result_boundary_general_labs","medlineplus.gov","Laboratory Tests","https://medlineplus.gov/laboratorytests.html","https://medlineplus.gov/laboratorytests.html","3601","517","17","ok","needs_human_review","false","false","1","Laboratory Tests On this page Basics Summary Start Here Learn More Specifics See, Play and Learn Videos and Tutorials Research Statistics and Research Clinical Trials Journal Articles Resources Reference Desk Find an Expert For You Children Summary Laboratory tests check a sample of your blood, urine, or body tissues. A technician or your doctor analyzes the","rary of Medicine) Also in Spanish How to Read Your Pathology Report (College of American Pathologists) How You Can Get the Best Results with Home Use Tests (Food and Drug Administration) Stool Tests (For Parents) (Nemours Foundation) Also in Spanish Venous Sampling (American College of Radiology; Radiological Society of North America) Also in Spanish What Yo","ture (For Parents) (Nemours Foundation) Also in Spanish Collecting a Stool Sample for Testing (For Parents) (Nemours Foundation) Also in Spanish Getting a Blood Test (For Parents) (Nemours Foundation) Also in Spanish How to Prepare Your Child for a Lab Test (National Library of Medicine) Also in Spanish Types of Blood Tests (For Parents) (Nemours Foundation)","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_cbc_test_v1_4","cbc_anemia_infection_basics","medlineplus.gov","Complete Blood Count (CBC)","https://medlineplus.gov/lab-tests/complete-blood-count-cbc/","https://medlineplus.gov/lab-tests/complete-blood-count-cbc/","7022","1098","10","ok","needs_human_review","false","false","4","Complete Blood Count (CBC) What is a Complete Blood Count? A complete blood count, or CBC, is a group of blood tests that measure the number and size of the different cells in your blood. A CBC measures: Red blood cells , which carry oxygen from your lungs to the rest of your body. White blood cells , which fight infections and other diseases. There are five","hing else I need to know about a complete blood count? A complete blood count is only one tool your provider uses to learn about your health. Your provider will consider your medical history, symptoms, and other factors to make a diagnosis. You may also need additional tests. References Cleveland Clinic: Health Library: Diagnostics & Testing [Internet]. Clev","a; c2024. CBC Blood Test (Complete Blood Count); [modified 2022 Sep 28; cited 2024 Jul 17]; [about 12 screens]. Available from: https://www.testing.com/tests/complete-blood-count-cbc/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_blood_count_tests_v1_4","cbc_blood_count_overview","medlineplus.gov","Blood Count Tests","https://medlineplus.gov/bloodcounttests.html","https://medlineplus.gov/bloodcounttests.html","4137","589","16","ok","needs_human_review","false","false","1","Blood Count Tests Also called: CBC, Complete Blood Count, Hematologic Tests On this page Basics Summary Start Here Learn More Related Issues Specifics See, Play and Learn Images Research Clinical Trials Journal Articles Resources No links available For You Children Patient Handouts Summary Your blood contains red blood cells (RBC), white blood cells (WBC), a","c (National Library of Medicine) Also in Spanish Specifics Blood Differential (National Library of Medicine) Also in Spanish Blood Smear (National Library of Medicine) Also in Spanish Hematocrit Test (National Library of Medicine) Also in Spanish Hemoglobin Electrophoresis (National Library of Medicine) Also in Spanish Hemoglobin Test (National Library of Me","ish CBC blood test (Medical Encyclopedia) Also in Spanish Hematocrit (Medical Encyclopedia) Also in Spanish Hemoglobin (Medical Encyclopedia) Also in Spanish Platelet count (Medical Encyclopedia) Also in Spanish RBC count (Medical Encyclopedia) Also in Spanish RBC indices (Medical Encyclopedia) Also in Spanish WBC count (Medical Encyclopedia) Also in Spanish","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_crp_test_v1_4","inflammation_infection_context","medlineplus.gov","C-Reactive Protein (CRP) Test","https://medlineplus.gov/lab-tests/c-reactive-protein-crp-test/","https://medlineplus.gov/lab-tests/c-reactive-protein-crp-test/","7869","1207","10","ok","needs_human_review","false","false","6","C-Reactive Protein (CRP) Test What is a c-reactive (CRP) protein test? A c-reactive protein test measures the level of c-reactive protein (CRP) in a sample of your blood. Your liver makes CRP in response to inflammation. Inflammation is your body's way of protecting your tissues and helping them heal from an injury , infection , or other disease. When it's a","esity . Sex. Females often have slightly higher CRP levels than males. Your CRP test results tell you how much inflammation you have in your body, but not what's causing it or where it is. To make a diagnosis, your provider will look at your CRP results along with the results of other tests, your symptoms, and medical history. Learn more about laboratory tes","Media; c2025. C Reactive Protein (CRP Blood Test); [modified 2022 Jul 29; cited 2025 May 23]; [about 13 screens]. Available from: https://www.testing.com/tests/c-reactive-protein-crp/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_blood_culture_v1_4","infection_testing_blood_culture","medlineplus.gov","Blood culture","https://medlineplus.gov/ency/article/003744.htm","https://medlineplus.gov/ency/article/003744.htm","3989","659","13","ok","needs_human_review","false","false","1","Blood culture A blood culture is a lab test to check for bacteria or other germs in a blood sample. How the Test is Performed A blood sample is needed . The site where blood will be drawn is first cleaned with an antiseptic such as chlorhexidine. This reduces the chance of an organism from the skin getting into (contaminating) the blood sample and causing a ","r this is bacteremia. This can cause sepsis. Sepsis is a medical emergency and you will be admitted to a hospital for treatment. Other types of germs, such as a fungus or a virus, may also be found in a blood culture. Sometimes, an abnormal result can be due to contamination. This means bacteria may be found, but it came from your skin or from the lab equipm","vier; 2026:chap 75. Review Date 10/19/2025 Updated by: Laura J. Martin, MD, MPH, ABIM Board Certified in Internal Medicine and Hospice and Palliative Medicine, Atlanta, GA. Also reviewed by David C. Dugdale, MD, Medical Director, Brenda Conaway, Editorial Director, and the A.D.A.M. Editorial team. Related MedlinePlus Health Topics Bacterial Infections Sepsis","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_blood_glucose_test_v1_4","glucose_fasting_blood_glucose_diabetes_screening","medlineplus.gov","Blood Glucose Test","https://medlineplus.gov/lab-tests/blood-glucose-test/","https://medlineplus.gov/lab-tests/blood-glucose-test/","18723","2851","10","ok","needs_human_review","false","false","7","Blood Glucose Test What is a blood glucose test? A blood glucose test measures the glucose levels in your blood. Glucose is a type of sugar. It is your body's main source of energy. It comes from the food you eat. A hormone called insulin helps move glucose from your bloodstream into your cells for use as energy. If you have too much or too little glucose in","ed to do blood glucose testing at home to help manage your blood glucose levels. Your provider will let you know how often you should test. There are two ways to check your blood glucose. Your provider can help you decide which one is best for you: Blood glucose meters require you to prick your finger with a small device called a lancet. Then, you apply a dr","yperglycemia: Symptoms, Causes, and Treatments; [cited 2024 May 9]; [about 5 screens]. Available from: https://www.yalemedicine.org/conditions/hyperglycemia-symptoms-causes-treatments The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
