id,query,category,expected_topic,top_1_kb_id,top_1_topic,top_1_domain,top_1_score,top_5_kb_ids,top_5_topics,top_5_domains,failure_reason
b4a_vi_001,mình muốn kiểm tra sức khỏe tổng quát thì nên xét nghiệm những gì,test_advice_general_checkup,general_lab_tests_blood_tests,kb_v1_007,test_meaning,nhs.uk,0.989212,kb_v1_007;kb_v1_2_019;kb_v1_006;kb_v1_005;kb_v1_2_027,test_meaning;test_meaning;general_info;general_info;test_meaning,nhs.uk;medlineplus.gov;nhs.uk;nhs.uk;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
b4a_vi_002,"dạo này em hay mệt, muốn làm vài xét nghiệm cơ bản xem có vấn đề gì không",test_advice_general_checkup,general_lab_tests_blood_tests,kb_v1_007,test_meaning,nhs.uk,0.867577,kb_v1_007;kb_v1_006;kb_v1_2_023;kb_v1_2_018;kb_v1_008,test_meaning;general_info;test_meaning;test_use;preparation,nhs.uk;nhs.uk;medlineplus.gov;medlineplus.gov;nhs.uk,acceptable_broad_domain_but_wrong_topic
b4a_vi_003,"nam 35 tuổi, làm văn phòng, muốn kiểm tra tổng quát tại nhà thì nên bắt đầu từ đâu",test_advice_general_checkup,general_lab_tests_blood_tests,kb_v1_008,preparation,nhs.uk,0.926719,kb_v1_008;kb_v1_2_016;kb_v1_006;kb_v1_2_019;kb_v1_007,preparation;test_meaning;general_info;test_meaning;test_meaning,nhs.uk;medlineplus.gov;nhs.uk;medlineplus.gov;nhs.uk,acceptable_broad_domain_but_wrong_topic
b4a_vi_004,"công ty bắt khám sức khỏe, mình nên chọn mấy xét nghiệm máu cơ bản nào cho đỡ thiếu",test_advice_general_checkup,general_lab_tests_blood_tests,kb_v1_007,test_meaning,nhs.uk,0.984735,kb_v1_007;kb_v1_008;kb_v1_006;kb_v1_2_019;kb_v1_005,test_meaning;preparation;general_info;test_meaning;general_info,nhs.uk;nhs.uk;nhs.uk;medlineplus.gov;nhs.uk,acceptable_broad_domain_but_wrong_topic
b4a_vi_009,"người nhà tôi sốt mấy hôm, muốn xem có nhiễm trùng không thì công thức máu có giúp gì không",cbc_anemia_infection,cbc_anemia_infection_basics,kb_v1_2_016,test_meaning,medlineplus.gov,0.982889,kb_v1_2_016;kb_v1_2_019;kb_v1_007;kb_v1_001;kb_v1_2_023,test_meaning;test_meaning;test_meaning;red_flag_general;test_meaning,medlineplus.gov;medlineplus.gov;nhs.uk;nice.org.uk;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
b4a_vi_012,"mẹ tôi hay mệt và ăn kém, tôi muốn hỏi xét nghiệm máu nào xem thiếu máu hay viêm",cbc_anemia_infection,cbc_anemia_infection_basics,kb_v1_2_016,test_meaning,medlineplus.gov,1.077222,kb_v1_2_016;kb_v1_2_019;kb_v1_007;kb_v1_006;kb_v1_008,test_meaning;test_meaning;test_meaning;general_info;preparation,medlineplus.gov;medlineplus.gov;nhs.uk;nhs.uk;nhs.uk,acceptable_broad_domain_but_wrong_topic
b4a_vi_017,"ba tôi tiểu nhiều ban đêm, khát nước, có cần kiểm tra đường máu không",glucose_hba1c,glucose_fasting_blood_glucose_diabetes_screening,kb_v1_007,test_meaning,nhs.uk,0.92836,kb_v1_007;kb_v1_2_017;kb_v1_2_018;kb_v1_008;kb_v1_2_019,test_meaning;test_meaning;test_use;preparation;test_meaning,nhs.uk;medlineplus.gov;medlineplus.gov;nhs.uk;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
b4a_vi_019,"mẹ tôi bị mỡ máu, muốn theo dõi lại thì nên xét nghiệm gì",lipid_cardiometabolic,lipid_panel_cholesterol,kb_v1_007,test_meaning,nhs.uk,0.952227,kb_v1_007;kb_v1_2_018;kb_v1_006;kb_v1_008;kb_v1_2_016,test_meaning;test_use;general_info;preparation;test_meaning,nhs.uk;medlineplus.gov;nhs.uk;nhs.uk;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
b4a_vi_021,người hơi thừa cân muốn kiểm tra mỡ máu với đường huyết thì nên làm nhóm nào,lipid_cardiometabolic,lipid_panel_cholesterol,kb_v1_007,test_meaning,nhs.uk,1.011012,kb_v1_007;kb_v1_2_017;kb_v1_008;kb_v1_2_018;kb_v1_2_019,test_meaning;test_meaning;preparation;test_use;test_meaning,nhs.uk;medlineplus.gov;nhs.uk;medlineplus.gov;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
b4a_vi_024,"bố tôi có tiền sử tim mạch, tôi muốn kiểm tra mỡ máu định kỳ cho ông thì hỏi gói nào",lipid_cardiometabolic,lipid_panel_cholesterol,kb_v1_007,test_meaning,nhs.uk,0.925226,kb_v1_007;kb_v1_2_018;kb_v1_006;kb_v1_2_023;kb_v1_2_017,test_meaning;test_use;general_info;test_meaning;test_meaning,nhs.uk;medlineplus.gov;nhs.uk;medlineplus.gov;medlineplus.gov,acceptable_broad_domain_but_wrong_topic
