id,category,query,expected_topic,acceptable_topics,detected_profiles,top_1_kb_id,top_1_topic,top_1_domain,top_5_topics,top_20_topics,failure_reason
b4a_vi_002,test_advice_general_checkup,"dạo này em hay mệt, muốn làm vài xét nghiệm cơ bản xem có vấn đề gì không",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing;cbc_anemia_infection_basics;glucose_hba1c_diabetes_screening;tsh_thyroid_screening,,kb_v1_007,test_meaning,nhs.uk,test_meaning;general_info;test_meaning;test_use;preparation,test_meaning;general_info;test_meaning;test_use;preparation;test_meaning;test_meaning;red_flag_general;red_flag_general;urgent_advice;emergency_warning;urgent_advice;red_flag_signs;emergency_warning;urgent_advice;red_flag_signs;result_interpretation;test_result_explainer;results;result_interpretation,topic_missing_from_candidates
b4a_vi_005,test_advice_general_checkup,"mình không có triệu chứng gì rõ, chỉ muốn kiểm tra định kỳ mỗi năm thì nên xem những chỉ số nào",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,,kb_v1_2_020,result_interpretation,medlineplus.gov,result_interpretation;result_interpretation;test_result_explainer;result_interpretation;results,result_interpretation;result_interpretation;test_result_explainer;result_interpretation;results;result_interpretation;test_meaning;test_use;general_info;test_meaning;test_meaning;urgent_advice;red_flag_general;red_flag_general;red_flag_general;urgent_advice;urgent_advice;safety_boundary;urgent_advice;red_flag_signs,topic_missing_from_candidates
b4a_vi_043,clarification_needed,tôi muốn xét nghiệm vài thứ cho yên tâm nhưng chưa biết nên làm gì,general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,,kb_v1_008,preparation,nhs.uk,preparation;general_info;test_use;test_meaning;test_meaning,preparation;general_info;test_use;test_meaning;test_meaning;test_meaning;test_meaning;general_info;red_flag_general;urgent_advice;red_flag_general;red_flag_general;red_flag_general;red_flag_signs;urgent_advice;test_result_explainer;result_interpretation;result_interpretation;results;result_interpretation,topic_missing_from_candidates
b4a_vi_045,clarification_needed,"nữ 28 tuổi muốn kiểm tra sức khỏe trước khi đi làm xa, cần xét nghiệm gì nhỉ",general_lab_tests_blood_tests,general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing,,kb_v1_008,preparation,nhs.uk,preparation;test_use;general_info;test_meaning;test_meaning,preparation;test_use;general_info;test_meaning;test_meaning;red_flag_general;red_flag_general;red_flag_signs;urgent_advice;red_flag_general;urgent_advice;urgent_advice;urgent_advice;urgent_advice;red_flag_general;test_result_explainer;result_interpretation;results;result_interpretation;result_interpretation,topic_missing_from_candidates
b4a_vi_046,urgent_override,"mình mệt lả, hơi lú lẫn và tình trạng xấu đi nhanh, có nên xét nghiệm máu trước không",emergency_warning,emergency_warning;red_flag_general;urgent_advice;infection_testing_blood_culture;inflammation_infection_context,general_labs,kb_v1_006,general_info,nhs.uk,general_info;general_lab_tests_routine_blood_testing;general_lab_tests_routine_blood_testing;test_meaning;preparation,general_info;general_lab_tests_routine_blood_testing;general_lab_tests_routine_blood_testing;test_meaning;preparation;red_flag_general;urgent_advice;urgent_advice;test_meaning;urgent_advice;red_flag_signs;red_flag_general;red_flag_general;test_use;lab_preparation_fasting;glucose_fasting_blood_glucose_diabetes_screening;results;test_result_explainer;result_interpretation;result_interpretation,acceptable_broad_domain_but_wrong_topic
b4a_vi_050,urgent_override,"mẹ tôi vừa ngất xong, giờ hơi lú lẫn, tôi muốn gọi lấy máu tại nhà có được không",emergency_warning,emergency_warning;red_flag_general;urgent_advice;infection_testing_blood_culture;inflammation_infection_context,general_labs,kb_v1_006,general_info,nhs.uk,general_info;general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing;general_info;test_meaning,general_info;general_lab_tests_blood_tests;general_lab_tests_routine_blood_testing;general_info;test_meaning;preparation;urgent_advice;test_meaning;test_meaning;red_flag_general;urgent_advice;red_flag_general;emergency_warning;test_use;results;test_result_explainer;result_interpretation;result_interpretation;medical_result_explanation_boundary;result_interpretation,acceptable_broad_domain_but_wrong_topic
b4a_vi_057,booking_separation,"mai 8 giờ có lấy mẫu tại nhà được không, nhà tôi ở quận 7",schedule_home_sample_time_location,schedule_home_sample_time_location,,kb_v1_2_018,test_use,medlineplus.gov,test_use;urgent_advice;emergency_warning;red_flag_general;red_flag_general,test_use;urgent_advice;emergency_warning;red_flag_general;red_flag_general;red_flag_general;red_flag_signs;emergency_warning;urgent_advice;urgent_advice;red_flag_signs;emergency_warning;emergency_warning;emergency_warning;result_interpretation;test_result_explainer;results;result_interpretation;result_interpretation;result_interpretation,eval_label_still_ambiguous
b4a_vi_058,booking_separation,tôi muốn đặt gói kiểm tra mỡ máu và đường huyết cuối tuần này,lipid_panel_cholesterol,lipid_panel_cholesterol;glucose_fasting_blood_glucose_diabetes_screening,lipid;glucose_hba1c,kb_v1_4_4a_002,general_lab_tests_blood_tests,nhs.uk,general_lab_tests_blood_tests;hba1c_diabetes_monitoring_screening;lab_preparation_fasting;test_meaning;lipid_panel_cholesterol,general_lab_tests_blood_tests;hba1c_diabetes_monitoring_screening;lab_preparation_fasting;test_meaning;lipid_panel_cholesterol;lipid_panel_cholesterol;glucose_hba1c_diabetes_screening;glucose_fasting_blood_glucose_diabetes_screening;lipid_panel_cholesterol;glucose_fasting_blood_glucose_diabetes_screening;lipid_panel_triglycerides;cmp_liver_kidney_glucose_context;hba1c_diabetes_monitoring_screening;hba1c_diabetes_monitoring_screening;test_meaning;general_info;test_meaning;urgent_advice;test_result_explainer;results,acceptable_broad_domain_but_wrong_topic
b4a_vi_059,booking_separation,"cho tôi hẹn lấy mẫu máu sáng thứ hai, tôi đã chọn gói rồi",book_selected_package_sample,book_selected_package_sample,,kb_v1_2_025,test_meaning,medlineplus.gov,test_meaning;test_use;preparation;test_meaning;test_meaning,test_meaning;test_use;preparation;test_meaning;test_meaning;test_meaning;general_info;urgent_advice;red_flag_general;red_flag_general;red_flag_signs;emergency_warning;red_flag_general;urgent_advice;emergency_warning;red_flag_signs;test_result_explainer;results;result_interpretation;result_interpretation,eval_label_still_ambiguous
b4a_vi_060,booking_separation,mình cần đổi lịch lấy mẫu tại nhà từ chiều nay sang sáng mai,reschedule_home_sample,reschedule_home_sample,,kb_v1_2_018,test_use,medlineplus.gov,test_use;test_meaning;urgent_advice;emergency_warning;red_flag_general,test_use;test_meaning;urgent_advice;emergency_warning;red_flag_general;red_flag_signs;red_flag_general;urgent_advice;emergency_warning;red_flag_signs;red_flag_general;urgent_advice;emergency_warning;emergency_warning;urgent_advice;result_interpretation;test_result_explainer;result_interpretation;result_interpretation;result_interpretation,eval_label_still_ambiguous
