id,category,query,expected_topic,acceptable_topics,alias_groups,fusion_hit_3,fusion_hit_20,failure_bucket,fusion_top_5_topics,fusion_top_20_topics
b4a_vi_007,cbc_anemia_infection,"em hay chóng mặt với mệt, có nên kiểm tra thiếu máu không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,cbc,False,True,candidate_present_but_rerank_failed,red_flag_general;result_interpretation;result_interpretation;test_result_explainer;urgent_advice,red_flag_general;result_interpretation;result_interpretation;test_result_explainer;urgent_advice;urgent_advice;red_flag_general;emergency_warning;red_flag_general;test_meaning;emergency_warning;results;red_flag_signs;test_meaning;test_meaning;cbc_anemia_infection_basics;cbc_anemia_infection_basics;emergency_warning;urgent_advice;emergency_warning
b4a_vi_008,cbc_anemia_infection,"CBC là xét nghiệm gì, có biết được thiếu máu không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,cbc,False,True,candidate_present_but_rerank_failed,result_interpretation;test_meaning;test_result_explainer;test_meaning;test_meaning,result_interpretation;test_meaning;test_result_explainer;test_meaning;test_meaning;cbc_anemia_infection_basics;general_info;general_info;result_interpretation;results;cbc_anemia_infection_basics;test_use;result_interpretation;red_flag_general;test_meaning;red_flag_general;test_meaning;cbc_anemia_infection_basics;preparation;test_meaning
b4a_vi_009,cbc_anemia_infection,"người nhà tôi sốt mấy hôm, muốn xem có nhiễm trùng không thì công thức máu có giúp gì không",cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture,cbc,False,True,candidate_present_but_rerank_failed,test_result_explainer;test_meaning;test_meaning;red_flag_general;red_flag_general,test_result_explainer;test_meaning;test_meaning;red_flag_general;red_flag_general;result_interpretation;result_interpretation;results;result_interpretation;red_flag_signs;test_meaning;test_meaning;emergency_warning;general_info;test_meaning;red_flag_general;cbc_anemia_infection_basics;cbc_anemia_infection_basics;urgent_advice;urgent_advice
b4a_vi_010,cbc_anemia_infection,"em bị mệt lâu ngày, da hơi xanh, muốn kiểm tra máu thì nên bắt đầu bằng CBC không",cbc_anemia_infection_basics,cbc_anemia_infection_basics,cbc,False,True,candidate_present_but_rerank_failed,result_interpretation;test_meaning;result_interpretation;red_flag_general;cbc_anemia_infection_basics,result_interpretation;test_meaning;result_interpretation;red_flag_general;cbc_anemia_infection_basics;test_result_explainer;urgent_advice;red_flag_general;results;red_flag_general;preparation;result_interpretation;emergency_warning;test_meaning;red_flag_signs;general_info;urgent_advice;cbc_anemia_infection_basics;test_use;test_meaning
b4a_vi_011,cbc_anemia_infection,bạch cầu cao trong công thức máu có phải chắc chắn là nhiễm trùng không,cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture;medical_result_explanation_boundary,cbc,False,True,candidate_present_but_rerank_failed,test_meaning;test_meaning;result_interpretation;emergency_warning;red_flag_general,test_meaning;test_meaning;result_interpretation;emergency_warning;red_flag_general;test_result_explainer;red_flag_general;results;red_flag_signs;test_meaning;test_meaning;result_interpretation;result_interpretation;red_flag_general;test_use;result_interpretation;red_flag_signs;cbc_anemia_infection_basics;cbc_anemia_infection_basics;general_info
b4a_vi_012,cbc_anemia_infection,"mẹ tôi hay mệt và ăn kém, tôi muốn hỏi xét nghiệm máu nào xem thiếu máu hay viêm",cbc_anemia_infection_basics,cbc_anemia_infection_basics;inflammation_infection_context;infection_testing_blood_culture,cbc;general_blood,False,True,candidate_present_but_rerank_failed,test_result_explainer;result_interpretation;test_meaning;test_meaning;result_interpretation,test_result_explainer;result_interpretation;test_meaning;test_meaning;result_interpretation;test_meaning;results;general_info;test_use;preparation;red_flag_general;general_info;red_flag_general;test_meaning;red_flag_general;cbc_anemia_infection_basics;cbc_anemia_infection_basics;general_lab_tests_blood_tests;urgent_advice;test_meaning
b4a_vi_025,liver_function,tôi muốn kiểm tra gan vì trước đây men gan hơi cao,liver_function_alt_ast_bilirubin,liver_function_alt_ast_bilirubin;cmp_liver_kidney_glucose_context;medical_result_explanation_boundary,liver,False,True,candidate_present_but_rerank_failed,test_result_explainer;result_interpretation;urgent_advice;test_use;preparation,test_result_explainer;result_interpretation;urgent_advice;test_use;preparation;urgent_advice;results;test_meaning;red_flag_general;red_flag_general;general_info;cmp_liver_kidney_glucose_context;liver_function_alt_ast_bilirubin;test_meaning;emergency_warning;safety_boundary;test_meaning;red_flag_signs;cmp_liver_kidney_glucose_context;emergency_warning
b4a_vi_026,liver_function,"ALT AST là gì, có phải cứ cao là bị bệnh gan không",liver_function_alt_ast_bilirubin,liver_function_alt_ast_bilirubin;cmp_liver_kidney_glucose_context;medical_result_explanation_boundary,liver,False,True,candidate_present_but_rerank_failed,urgent_advice;test_result_explainer;red_flag_signs;test_use;emergency_warning,urgent_advice;test_result_explainer;red_flag_signs;test_use;emergency_warning;red_flag_general;urgent_advice;result_interpretation;test_meaning;safety_boundary;red_flag_signs;red_flag_general;test_meaning;liver_function_alt_ast_bilirubin;cmp_liver_kidney_glucose_context;test_meaning;emergency_warning;urgent_advice;result_interpretation;result_interpretation
b4a_vi_027,liver_function,uống rượu bia nhiều muốn kiểm tra gan thì nên xét nghiệm gì,liver_function_alt_ast_bilirubin,liver_function_alt_ast_bilirubin;cmp_liver_kidney_glucose_context,liver,False,True,candidate_present_but_rerank_failed,test_result_explainer;test_use;preparation;test_meaning;urgent_advice,test_result_explainer;test_use;preparation;test_meaning;urgent_advice;test_meaning;result_interpretation;general_info;result_interpretation;test_meaning;test_meaning;results;red_flag_general;red_flag_general;result_interpretation;urgent_advice;urgent_advice;cmp_liver_kidney_glucose_context;liver_function_alt_ast_bilirubin;general_info
b4a_vi_028,liver_function,men gan cao nhẹ thì có cần làm lại xét nghiệm không hay theo dõi thôi,liver_function_alt_ast_bilirubin,liver_function_alt_ast_bilirubin;cmp_liver_kidney_glucose_context;medical_result_explanation_boundary,liver,False,True,candidate_present_but_rerank_failed,test_result_explainer;result_interpretation;test_use;result_interpretation;urgent_advice,test_result_explainer;result_interpretation;test_use;result_interpretation;urgent_advice;preparation;results;general_info;red_flag_general;red_flag_general;result_interpretation;test_meaning;red_flag_signs;red_flag_general;urgent_advice;cmp_liver_kidney_glucose_context;liver_function_alt_ast_bilirubin;test_meaning;urgent_advice;emergency_warning
