candidate_id,doc_id,source_id,source_name,source_url,section,risk_level,review_required,block_index,char_count,raw_block,keep,final_title,final_content,tags,keywords,test_types,faq_type,safety_notes,locale,language,review_status
blood_tests_cand_001,blood_tests_doc_001,blood_tests,NHS,https://www.nhs.uk/tests-and-treatments/blood-tests/,test_explainers,low,False,1,4097,"A blood test is often done to check your health, or to find out why you're having certain symptoms. It involves having a small amount of your blood taken for testing.
Why a blood test is done
There are lots of reasons why you may need a blood test.
A blood test may be done to:
check your general health
find out if symptoms you're having are caused by certain conditions
find out if you're more likely to get a condition
find out how well a condition is being treated or managed
How to book a blood test
If a healthcare professional such as a GP, nurse or specialist thinks you need a blood test they will tell you how to book one.
Some GP surgeries or hospitals allow you to book a blood test online.
Types of blood test
Blood tests can check for different things depending on your symptoms, any conditions you have, and any medicines you’re taking.
Common types of blood test
Test
Why it's done
Full blood count (FBC)
Measures the number of blood cells in your blood to check for blood conditions such as
iron deficiency anaemia
Blood glucose
Measures your blood sugar levels to check for or manage
diabetes
Urea and electrolytes, or renal panel
Checks if the amount of certain substances in your blood may be causing your symptoms
Lipid profile
Measures your cholesterol levels to check your risk of getting conditions like
cardiovascular disease
and
stroke
Total protein test
Measures protein in your blood to check for problems with your liver or kidneys
Thyroid stimulating hormone (TSH)
Measures thyroid hormones to check for conditions like
underactive thyroid (hypothyroidism)
Information:
More information
Find out more about types of blood tests from the Lab Tests Online UK website
.
Preparing for a blood test
The GP, nurse, or specialist should tell you if you need to do anything to prepare for a blood test.
For example, for a short time before some tests, you may need to:
not eat or drink anything other than water (fast)
stop taking certain medicines, such as medicines to help prevent blood clots (anticoagulant medicines)
What happens at a blood test
A blood test is usually done at a GP surgery or hospital. The test usually takes about 10 minutes.
A healthcare professional will take a small amount of blood, usually from the inside of your elbow, using a needle. Sometimes blood may be taken from your wrist, or your finger (called a finger-prick test).
A soft strap (tourniquet) may be put around your arm first. This helps to make taking blood easier.
You’ll feel a scratch as the needle goes in, which may be a bit uncomfortable. Your blood will be collected in a small tube which will be sent to a lab for testing.
After the test, you'll usually be given some cotton wool or a plaster to cover the area where the blood was taken.
You may get some bruising or swelling around the area where your blood was taken, but this should go away after a few days.
Information:
If you're worried about needles
Tell the healthcare professional doing your blood test if you're worried about needles. They can help you feel more comfortable during the test.
You can also bring someone with you to the blood test to support you.
Getting your blood test results
You may get your blood test results after a few days, and usually within a few weeks.
If you do not hear anything after a few weeks, contact the GP surgery or specialist.
The GP, nurse, or specialist should talk to you about your results and explain what happens next. Some GP surgeries do not contact you unless they need to discuss the results with you.
If your results do not show anything, you may not need to do anything else. Sometimes you may need other tests, depending on why you had the blood test.
Blood test results can be complicated. Ask to talk to a healthcare professional if you have questions about your results or do not understand them.
Information:
View your results online
You may be able to see your test results using the NHS App or by logging into your account on the NHS website.
Find out how to view your test results online
Page last reviewed: 02 November 2023
Next review due: 02 November 2026",0,,,,,,,,vi-VN,vi,pending
chest_pain_cand_001,chest_pain_doc_001,chest_pain,NHS,https://www.nhs.uk/symptoms/chest-pain/,red_flags,high,True,1,2459,"Most chest pain is not a sign of anything serious but get medical advice just in case. Get immediate medical help if you think you're having a heart attack.
Immediate action required:
Call 999 if:
you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion
you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back
you have chest pain and you feel sweaty, sick, light headed or short of breath
You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.
Non-urgent advice:
See a GP if:
you have chest pain that comes and goes
you have chest pain that goes away quickly but you're still worried
It's important to get medical advice to make sure it's nothing serious.
Common causes of chest pain
Chest pain has many different causes. In most cases, chest pain is not caused by a heart problem.
Your symptoms might give you an idea of the cause. Do not self-diagnose – see a GP if you're worried.
Chest pain symptoms and possible causes
Chest pain symptoms
Possible cause
Starts after eating, bringing up food or bitter tasting fluids, feeling full and bloated
Heartburn
or
indigestion
Starts after chest injury or chest exercise, may get worse when you breathe in, feels better when resting the muscle
Chest
sprain or strain
An often sharp, continuous pain triggered by worries or a stressful situation, heartbeat gets faster, sweating, dizziness
Anxiety
,
depression
or
panic attack
Gets worse when you breathe in, coughing up yellow or green mucus, high temperature
Chest infection,
pneumonia
or
pleurisy
Tingling feeling on skin, skin rash appears that turns into blisters
Shingles
Chest pain and heart problems
The most common heart problems that cause chest pain include:
pericarditis
– which usually causes a sudden, sharp, stabbing pain that gets worse when you breathe deeply or lie down
angina
or a
heart attack
– which have similar symptoms but a heart attack is life-threatening
You're more likely to have heart problems if you're older or are at risk of
coronary heart disease
.
For example, you may be at risk of coronary heart disease if you:
smoke
are living with
obesity
have
high blood pressure
,
diabetes
or
high cholesterol
have a history of heart attacks or angina in family members under 60 years old
Page last reviewed: 08 August 2023
Next review due: 08 August 2026",0,,,,,,,,vi-VN,vi,pending
shortness_of_breath_cand_001,shortness_of_breath_doc_001,shortness_of_breath,NHS,https://www.nhs.uk/symptoms/shortness-of-breath/,red_flags,high,True,1,3006,"Shortness of breath might not be anything to worry about, but sometimes it can be serious and you'll need to get medical help.
Immediate action required:
Call 999 or go to A&E immediately if:
you have severe difficulty breathing – you’re gasping, choking or not able to get words out
your chest feels tight or heavy
you have pain that spreads to your arms, back, neck and jaw
your lips or skin are turning very pale, blue or grey – on brown or black skin, this may be easier to see on the palms of the hands
you feel suddenly confused
Find your nearest A&E
Information:
Do not drive to A&E. Ask someone to drive you or call 999 and ask for an ambulance.
Bring any medicines you take with you.
Immediate action required:
Call 999 or go to A&E immediately if your child:
has difficulty breathing – they may make grunting noises or suck their stomach in under their ribcage
has lips or skin that are turning very pale, blue or grey – on brown or black skin, this may be easier to see on the palms of the hands
is suddenly confused (agitated, behaving oddly or crying constantly)
is limp, floppy or not responding like they normally do - their head may fall to the side, backwards or forwards, or they may find it difficult to lift their head or focus on your face
Find your nearest A&E
Urgent advice:
Contact NHS 111 if:
you have difficulty breathing – you may be more short of breath than usual
you feel sick or are being sick
you're coughing up blood
you have pain or swelling in 1 of your legs
you have heart palpitations – this may feel like your heart is racing, going too slowly or skipping a beat or like a fluttering feeling in your chest
You can call 111 or
get help from 111 online
Non-urgent advice:
See a GP if:
your shortness of breath gets worse when you've been doing your normal activities, or when you lie down
you feel short of breath and have swollen ankles
you've been coughing for 3 weeks or more
It's important to get medical advice to make sure it's nothing serious. You're not wasting anyone's time by getting it checked out.
Causes of shortness of breath
Shortness of breath has lots of different causes.
Common causes include:
asthma
a
chest infection
being
overweight
smoking
a
panic attack
But sometimes shortness of breath could be a sign of something more serious, such as:
a lung condition called
chronic obstructive pulmonary disease (COPD)
scarring of the lungs known as
idiopathic pulmonary fibrosis
heart failure
lung cancer
Any treatment you may need depends on what's causing your symptoms.
Do not try to self-diagnose the cause of shortness of breath – always see a GP.
Information:
Coping with shortness of breath
If you know what's causing your shortness of breath, you can get advice about things you and other people can do to help.
Asthma + Lung UK: living well with breathlessness
Supporting someone with breathlessness website: advice for family, friends and carers of people with COPD or cancer
Page last reviewed: 30 January 2024
Next review due: 30 January 2027",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_001,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,1,297,"Suspected sepsis in people 
aged 16 or over: 
recognition, assessment 
and early management 
NICE guideline 
Published: 19 November 2025 
www.nice.org.uk/guidance/ng253 
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_002,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,2,1892,"Your responsibility 
The recommendations in this guideline represent the view of NICE, arrived at after careful 
consideration of the evidence available. When exercising their judgement, professionals 
and practitioners are expected to take this guideline fully into account, alongside the 
individual needs, preferences and values of their patients or the people using their service. 
It is not mandatory to apply the recommendations, and the guideline does not override the 
responsibility to make decisions appropriate to the circumstances of the individual, in 
consultation with them and their families and carers or guardian. 
All problems (adverse events) related to a medicine or medical device used for treatment 
or in a procedure should be reported to the Medicines and Healthcare products Regulatory 
Agency using the Yellow Card Scheme. 
Local commissioners and providers of healthcare have a responsibility to enable the 
guideline to be applied when individual professionals and people using services wish to 
use it. They should do so in the context of local and national priorities for funding and 
developing services, and in light of their duties to have due regard to the need to eliminate 
unlawful discrimination, to advance equality of opportunity and to reduce health 
inequalities. Nothing in this guideline should be interpreted in a way that would be 
inconsistent with complying with those duties. 
Commissioners and providers have a responsibility to promote an environmentally 
sustainable health and care system and should assess and reduce the environmental 
impact of implementing NICE recommendations wherever possible. 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 2 of
76",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_003,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,3,3852,"Contents 
Overview ...................................................................................................................................... 5 
Who should use this guidance? ........................................................................................................... 5 
Could this be sepsis? .................................................................................................................. 6 
1.1 When to suspect sepsis ................................................................................................................... 6 
1.2 People who are most vulnerable to sepsis ................................................................................... 9 
Face-to-face assessment .......................................................................................................... 11 
1.3 Initial assessment and examination ............................................................................................... 11 
1.4 Interpreting findings ........................................................................................................................ 13 
Evaluating risk .............................................................................................................................. 16 
1.5 In community and custodial settings ............................................................................................. 16 
1.6 In acute hospital settings, acute mental health settings and ambulances ................................ 19 
Managing suspected sepsis ....................................................................................................... 22 
1.7 Outside acute hospital settings ...................................................................................................... 22 
1.8 In acute hospital settings ................................................................................................................ 27 
Antibiotic therapy, intravenous fluid and oxygen .....................................................................40 
1.9 Choice of antibiotic therapy for people with suspected sepsis ................................................. 41 
1.10 Using oxygen for people with suspected sepsis ........................................................................ 42 
Finding and controlling the source of infection ........................................................................43 
1.11 Everyone .......................................................................................................................................... 43 
Information and support for all people with suspected sepsis ...............................................45 
1.12 Communicating and sharing information ..................................................................................... 45 
1.13 People who have sepsis and their families and carers .............................................................. 46 
1.14 Information at discharge for people assessed for suspected sepsis, but not diagnosed 
with sepsis ............................................................................................................................................. 46 
1.15 Information at discharge for people at increased risk of sepsis ............................................... 47 
1.16 Information at discharge for people who have had sepsis ........................................................ 47 
Training and education ...............................................................................................................49 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 3 of
76",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_004,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,4,3343,"1.17 Healthcare staff involved in assessing clinical condition ........................................................... 49 
1.18 Healthcare professionals involved in triage or early management ........................................... 50 
Terms used in this guideline ....................................................................................................... 51 
Critical care specialist or team ............................................................................................................. 51 
Not responding to intravenous fluid resuscitation ............................................................................. 51 
Recently pregnant ................................................................................................................................. 51 
Sepsis ..................................................................................................................................................... 52 
Suspected sepsis .................................................................................................................................. 52 
Senior clinical decision maker .............................................................................................................. 52 
Recommendations for research .................................................................................................53 
Key recommendations for research .................................................................................................... 53 
Other recommendations for research ................................................................................................. 54 
Rationale and impact ................................................................................................................... 57 
People with neutropenia or immunosuppression ............................................................................... 57 
People who are most vulnerable to sepsis ......................................................................................... 57 
Initial assessment and examination ..................................................................................................... 58 
Evaluating risk level in people with suspected sepsis in acute hospital settings, acute mental 
health settings and ambulances .......................................................................................................... 59 
Managing suspected sepsis outside acute hospital settings ........................................................... 61 
Managing suspected sepsis in acute hospital settings ..................................................................... 64 
Finding and controlling the source of infection .................................................................................. 73 
Finding more information and committee details ..................................................................... 75 
Update information ..................................................................................................................... 76 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 4 of
76",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_005,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,5,1180,"This guideline replaces NG51. 
This guideline is the basis of QS213. 
Overview 
This guideline covers the recognition, diagnosis and early management of suspected 
sepsis in people aged 16 or over who are not and have not recently been pregnant. It 
includes recommendations on recognition and early assessment, initial treatment, 
escalating care, finding and controlling the source of infection, early monitoring, 
information and support, and training and education. 
NICE has also produced guidelines on: 
• suspected sepsis in pregnant or recently pregnant people and 
• suspected sepsis in people under 16. 
See the visual summaries on evaluating and managing suspected sepsis in people aged 16 
or over. 
Who should use this guidance? 
• People aged 16 or over with suspected sepsis who are not and have not recently been 
pregnant, their families and carers 
• Healthcare professionals working in primary, secondary and tertiary care 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 5 of
76",0,,,,,,,,vi-VN,vi,pending
nice_sepsis_overview_cand_006,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,6,1386,"Could this be sepsis? 
People have the right to be involved in discussions and make informed decisions 
about their care, as described in NICE's information on making decisions about your 
care. 
Making decisions using NICE guidelines explains how we use words to show the 
strength (or certainty) of our recommendations, and has information about 
prescribing medicines (including off-label use), professional guidelines, standards 
and laws (including on consent and mental capacity), and safeguarding. 
Healthcare professionals should follow our general guidelines for people delivering 
care: 
• Babies, children and young people's experience of healthcare 
• Decision making and mental capacity 
• Medicines adherence 
• Medicines optimisation 
• Multimorbidity 
• Patient experience in adult NHS services 
• Shared decision making. 
1.1 When to suspect sepsis 
1.1.1 Think 'could this be sepsis?' if a person presents with symptoms or signs that 
indicate possible infection. [2016] 
1.1.2 Take into account that people with sepsis may have non-specific, non-localised 
presentations, for example feeling very unwell, and may not have a high 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 6 of
76",1,"Khi có dấu hiệu nhiễm trùng và cảm giác rất mệt hoặc rất không ổn, cần được đánh giá sớm","Nếu một người có dấu hiệu nhiễm trùng và đồng thời cảm thấy rất mệt, rất yếu hoặc diễn tiến xấu nhanh, cần nghĩ đến khả năng bệnh nặng hơn bình thường và nên được đánh giá y tế sớm.","sepsis,red_flags,infection","nhiễm trùng nặng,sepsis,dấu hiệu nặng",,red_flag_general,Không dùng nội dung này để tự kết luận sepsis.,vi-VN,vi,approved
nice_sepsis_overview_cand_007,nice_sepsis_overview_doc_001,nice_sepsis_overview,NICE,https://www.nice.org.uk/guidance/ng253,red_flags,high,True,7,1809,"temperature. [2016] 
1.1.3 Pay particular attention to concerns expressed by the person and their family or 
carers, for example changes from usual behaviour. [2016] 
1.1.4 Assess people who might have sepsis with extra care if there is difficulty in taking 
their history, for example people with English as a second language or people 
with communication challenges (such as those associated with neurodiversity, 
cognitive impairment, learning disabilities, severe mental health conditions or 
brain injury). [2016, amended 2025] 
1.1.5 Assess people with any suspected infection to identify: 
• possible source of infection (see the recommendations on finding and 
controlling the source of infection) 
• factors that increase risk of sepsis (see people who are most vulnerable to 
sepsis) 
• any indications of clinical concern, such as new-onset abnormalities of 
behaviour, circulation or respiration. [2016] 
For a short explanation of why the committee amended this recommendation in 2025 
and how it might affect practice, see the rationale and impact section on people who 
are most vulnerable to sepsis. 
Full details of the evidence and the committee's discussion are in evidence review I: 
sepsis risk factors. 
1.1.6 During a remote assessment, when deciding whether to offer a face-to-face 
assessment and, if so, on the urgency of it, identify: 
• factors that increase risk of sepsis (see people who are most vulnerable to 
sepsis) and 
• indications of clinical concern such as new-onset abnormalities of behaviour, 
circulation or respiration. [2016] 
Suspected sepsis in people aged 16 or over: recognition, assessment and early
management (NG253)
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).
Page 7 of
76",0,,,,,,,,vi-VN,vi,pending
